,balanced_acc_mean_test,f1_mean_test,recall_mean_test,specificity_mean_test,balanced_acc_std_test,f1_std_test,recall_std_test,specificity_std_test
"{'algorithm': 'ball_tree', 'leaf_size': 30, 'n_neighbors': 2, 'weights': 'uniform'}",0.5943127002793241,0.8227879693825717,0.21640404040404038,0.9722213601546079,0.021068412531959926,0.012311902419070065,0.039137241876032805,0.0065463587165591015
"{'algorithm': 'ball_tree', 'leaf_size': 30, 'n_neighbors': 2, 'weights': 'distance'}",0.6354580262128401,0.7971123572010599,0.4068080808080808,0.8641079716175994,0.012470714754234094,0.009764530905678857,0.022291590537074392,0.014333697001043463
"{'algorithm': 'ball_tree', 'leaf_size': 30, 'n_neighbors': 5, 'weights': 'uniform'}",0.6203468833263442,0.8309489067506568,0.28048484848484845,0.9602089181678399,0.03004402316435225,0.013308049737757892,0.061336387515284606,0.002777386260291003
"{'algorithm': 'ball_tree', 'leaf_size': 30, 'n_neighbors': 5, 'weights': 'distance'}",0.6203468833263442,0.8309489067506568,0.28048484848484845,0.9602089181678399,0.03004402316435225,0.013308049737757892,0.061336387515284606,0.002777386260291003
"{'algorithm': 'ball_tree', 'leaf_size': 30, 'n_neighbors': 10, 'weights': 'uniform'}",0.5934765881672172,0.826435763238659,0.20234343434343435,0.984609741991,0.03171861708172465,0.017354312976698635,0.06192327503139028,0.004656096912006904
"{'algorithm': 'ball_tree', 'leaf_size': 30, 'n_neighbors': 10, 'weights': 'distance'}",0.6194277005265452,0.8370340164009766,0.2625050505050505,0.9763503505480399,0.03455146891429014,0.018463363778187306,0.06667007643560487,0.008016077315138679
"{'algorithm': 'ball_tree', 'leaf_size': 30, 'n_neighbors': 20, 'weights': 'uniform'}",0.58034690156513,0.8212134793303374,0.16820202020202019,0.99249178292824,0.0351379150628191,0.01899647466522866,0.0717543622449071,0.0026558106539279294
"{'algorithm': 'ball_tree', 'leaf_size': 30, 'n_neighbors': 20, 'weights': 'distance'}",0.594342659764996,0.8279684096537613,0.20032323232323232,0.9883620872067599,0.033651889234222805,0.017326897140062726,0.06880813418979287,0.0032338071848270777
"{'algorithm': 'ball_tree', 'leaf_size': 30, 'n_neighbors': 50, 'weights': 'uniform'}",0.5545075026243191,0.8072934744903529,0.11014141414141414,0.998873591107224,0.03027880669800588,0.018526206363573394,0.061227174200059534,0.0009197099112086839
"{'algorithm': 'ball_tree', 'leaf_size': 30, 'n_neighbors': 50, 'weights': 'distance'}",0.5623296337096081,0.8118036518022091,0.12616161616161617,0.9984976512575999,0.036645927985783575,0.02169006376146232,0.07462731264266519,0.0014062621123886224
"{'algorithm': 'ball_tree', 'leaf_size': 90, 'n_neighbors': 2, 'weights': 'uniform'}",0.5943127002793241,0.8227879693825717,0.21640404040404038,0.9722213601546079,0.021068412531959926,0.012311902419070065,0.039137241876032805,0.0065463587165591015
"{'algorithm': 'ball_tree', 'leaf_size': 90, 'n_neighbors': 2, 'weights': 'distance'}",0.6354580262128401,0.7971123572010599,0.4068080808080808,0.8641079716175994,0.012470714754234094,0.009764530905678857,0.022291590537074392,0.014333697001043463
"{'algorithm': 'ball_tree', 'leaf_size': 90, 'n_neighbors': 5, 'weights': 'uniform'}",0.6203468833263442,0.8309489067506568,0.28048484848484845,0.9602089181678399,0.03004402316435225,0.013308049737757892,0.061336387515284606,0.002777386260291003
"{'algorithm': 'ball_tree', 'leaf_size': 90, 'n_neighbors': 5, 'weights': 'distance'}",0.6203468833263442,0.8309489067506568,0.28048484848484845,0.9602089181678399,0.03004402316435225,0.013308049737757892,0.061336387515284606,0.002777386260291003
"{'algorithm': 'ball_tree', 'leaf_size': 90, 'n_neighbors': 10, 'weights': 'uniform'}",0.5934765881672172,0.826435763238659,0.20234343434343435,0.984609741991,0.03171861708172465,0.017354312976698635,0.06192327503139028,0.004656096912006904
"{'algorithm': 'ball_tree', 'leaf_size': 90, 'n_neighbors': 10, 'weights': 'distance'}",0.6194277005265452,0.8370340164009766,0.2625050505050505,0.9763503505480399,0.03455146891429014,0.018463363778187306,0.06667007643560487,0.008016077315138679
"{'algorithm': 'ball_tree', 'leaf_size': 90, 'n_neighbors': 20, 'weights': 'uniform'}",0.58034690156513,0.8212134793303374,0.16820202020202019,0.99249178292824,0.0351379150628191,0.01899647466522866,0.0717543622449071,0.0026558106539279294
"{'algorithm': 'ball_tree', 'leaf_size': 90, 'n_neighbors': 20, 'weights': 'distance'}",0.594342659764996,0.8279684096537613,0.20032323232323232,0.9883620872067599,0.033651889234222805,0.017326897140062726,0.06880813418979287,0.0032338071848270777
"{'algorithm': 'ball_tree', 'leaf_size': 90, 'n_neighbors': 50, 'weights': 'uniform'}",0.5545075026243191,0.8072934744903529,0.11014141414141414,0.998873591107224,0.03027880669800588,0.018526206363573394,0.061227174200059534,0.0009197099112086839
"{'algorithm': 'ball_tree', 'leaf_size': 90, 'n_neighbors': 50, 'weights': 'distance'}",0.5623296337096081,0.8118036518022091,0.12616161616161617,0.9984976512575999,0.036645927985783575,0.02169006376146232,0.07462731264266519,0.0014062621123886224
"{'algorithm': 'kd_tree', 'leaf_size': 30, 'n_neighbors': 2, 'weights': 'uniform'}",0.5943127002793241,0.8227879693825717,0.21640404040404038,0.9722213601546079,0.021068412531959926,0.012311902419070065,0.039137241876032805,0.0065463587165591015
"{'algorithm': 'kd_tree', 'leaf_size': 30, 'n_neighbors': 2, 'weights': 'distance'}",0.6354580262128401,0.7971123572010599,0.4068080808080808,0.8641079716175994,0.012470714754234094,0.009764530905678857,0.022291590537074392,0.014333697001043463
"{'algorithm': 'kd_tree', 'leaf_size': 30, 'n_neighbors': 5, 'weights': 'uniform'}",0.6203468833263442,0.8309489067506568,0.28048484848484845,0.9602089181678399,0.03004402316435225,0.013308049737757892,0.061336387515284606,0.002777386260291003
"{'algorithm': 'kd_tree', 'leaf_size': 30, 'n_neighbors': 5, 'weights': 'distance'}",0.6203468833263442,0.8309489067506568,0.28048484848484845,0.9602089181678399,0.03004402316435225,0.013308049737757892,0.061336387515284606,0.002777386260291003
"{'algorithm': 'kd_tree', 'leaf_size': 30, 'n_neighbors': 10, 'weights': 'uniform'}",0.5934765881672172,0.826435763238659,0.20234343434343435,0.984609741991,0.03171861708172465,0.017354312976698635,0.06192327503139028,0.004656096912006904
"{'algorithm': 'kd_tree', 'leaf_size': 30, 'n_neighbors': 10, 'weights': 'distance'}",0.6194277005265452,0.8370340164009766,0.2625050505050505,0.9763503505480399,0.03455146891429014,0.018463363778187306,0.06667007643560487,0.008016077315138679
"{'algorithm': 'kd_tree', 'leaf_size': 30, 'n_neighbors': 20, 'weights': 'uniform'}",0.58034690156513,0.8212134793303374,0.16820202020202019,0.99249178292824,0.0351379150628191,0.01899647466522866,0.0717543622449071,0.0026558106539279294
"{'algorithm': 'kd_tree', 'leaf_size': 30, 'n_neighbors': 20, 'weights': 'distance'}",0.594342659764996,0.8279684096537613,0.20032323232323232,0.9883620872067599,0.033651889234222805,0.017326897140062726,0.06880813418979287,0.0032338071848270777
"{'algorithm': 'kd_tree', 'leaf_size': 30, 'n_neighbors': 50, 'weights': 'uniform'}",0.5545075026243191,0.8072934744903529,0.11014141414141414,0.998873591107224,0.03027880669800588,0.018526206363573394,0.061227174200059534,0.0009197099112086839
