,balanced_acc_mean_test,f1_mean_test,recall_mean_test,specificity_mean_test,balanced_acc_std_test,f1_std_test,recall_std_test,specificity_std_test
"{'activation': 'tanh', 'batch_size': 200, 'hidden_layer_sizes': 50, 'learning_rate_init': 0.01}",0.6289438333738719,0.8415566809998005,0.27816161616161617,0.9797260505861276,0.04830607675779357,0.022283096353354587,0.10635837756911667,0.010176866113946604
"{'activation': 'tanh', 'batch_size': 200, 'hidden_layer_sizes': 50, 'learning_rate_init': 0.001}",0.584065191405371,0.8215256641283867,0.18014141414141416,0.9879889686693282,0.03824388827533849,0.020834696715510012,0.08005603587941672,0.007559544130337213
"{'activation': 'tanh', 'batch_size': 200, 'hidden_layer_sizes': 80, 'learning_rate_init': 0.01}",0.6327550122107246,0.8409554317125896,0.2944242424242424,0.971085781997207,0.029589016286459935,0.007720969960094167,0.0739827493356754,0.015307755670530384
"{'activation': 'tanh', 'batch_size': 200, 'hidden_layer_sizes': 80, 'learning_rate_init': 0.001}",0.5814348764913592,0.8173891088454693,0.1763838383838384,0.9864859145988799,0.054534548293358506,0.029034058972373163,0.11897620267249709,0.011831027272464352
"{'activation': 'tanh', 'batch_size': 200, 'hidden_layer_sizes': 100, 'learning_rate_init': 0.01}",0.6410182745510088,0.8396153272267635,0.3225858585858586,0.959450690516159,0.03411764557570199,0.012237170197993693,0.08567308779094837,0.02280592925191261
"{'activation': 'tanh', 'batch_size': 200, 'hidden_layer_sizes': 100, 'learning_rate_init': 0.001}",0.5706754674508204,0.813974730420448,0.15448484848484847,0.9868660864167925,0.025648287688242285,0.014268497463889787,0.055030303030303034,0.006164444634614475
"{'activation': 'tanh', 'batch_size': 200, 'hidden_layer_sizes': 200, 'learning_rate_init': 0.01}",0.6316075395151134,0.838617257270539,0.29474747474747476,0.9684676042827519,0.04784896006684248,0.021872608507293615,0.10188155395167768,0.006546854182345574
"{'activation': 'tanh', 'batch_size': 200, 'hidden_layer_sizes': 200, 'learning_rate_init': 0.001}",0.6230019609544641,0.8377174387157045,0.27040404040404037,0.9755998815048879,0.04359329496430361,0.019636129104953035,0.0922176086115159,0.006715187688311544
"{'activation': 'tanh', 'batch_size': 400, 'hidden_layer_sizes': 50, 'learning_rate_init': 0.01}",0.6585687627163879,0.8503604827484151,0.3528080808080808,0.9643294446246949,0.025963612165866873,0.007428529539009245,0.06554531055647925,0.015282227367634278
"{'activation': 'tanh', 'batch_size': 400, 'hidden_layer_sizes': 50, 'learning_rate_init': 0.001}",0.556879802981215,0.8076289149421296,0.12014141414141415,0.993618191821016,0.029080251435159476,0.016986828904868013,0.058531517814730843,0.003272194320552099
