,balanced_acc_mean_test,f1_mean_test,recall_mean_test,specificity_mean_test,balanced_acc_std_test,f1_std_test,recall_std_test,specificity_std_test
"{'criterion': 'gini', 'max_features': 'auto', 'min_samples_split': 3, 'n_estimators': 5}",0.6201942665806595,0.8335149219024812,0.27454545454545454,0.9658430786158643,0.01275409305121659,0.007024894666716121,0.024100341206733808,0.0043290571813782335
"{'criterion': 'gini', 'max_features': 'auto', 'min_samples_split': 3, 'n_estimators': 10}",0.5997251641526352,0.830242080279562,0.21446464646464647,0.9849856818406242,0.0192564383372915,0.010761964189967015,0.038467288339797505,0.006277406789300322
"{'criterion': 'gini', 'max_features': 'auto', 'min_samples_split': 3, 'n_estimators': 20}",0.6049368725697353,0.8348287865655916,0.2203838383838384,0.989489906755632,0.018915448416914095,0.010465774431286877,0.03657265405448895,0.003270012500839171
"{'criterion': 'gini', 'max_features': 'auto', 'min_samples_split': 3, 'n_estimators': 80}",0.6121746422170042,0.8388948488307539,0.23448484848484846,0.9898644359491598,0.014694888933023694,0.007883949058316492,0.030178775555532764,0.004213136449342185
"{'criterion': 'gini', 'max_features': 'auto', 'min_samples_split': 3, 'n_estimators': 100}",0.6109769239461152,0.8380972874035317,0.23246464646464648,0.989489201427584,0.014779487124341281,0.00759884873762823,0.030577851453132677,0.003480704660307944
"{'criterion': 'gini', 'max_features': 'auto', 'min_samples_split': 3, 'n_estimators': 200}",0.6113420574575901,0.8385846468705148,0.23244444444444445,0.9902396704707359,0.015339841738309556,0.00784578549858807,0.03171944918800014,0.003828325206399782
"{'criterion': 'gini', 'max_features': 'auto', 'min_samples_split': 10, 'n_estimators': 5}",0.6177847277526353,0.8230440535082723,0.2926262626262627,0.9429431928790081,0.020178298878413777,0.011067688034199217,0.036879727141800656,0.004208438019338749
"{'criterion': 'gini', 'max_features': 'auto', 'min_samples_split': 10, 'n_estimators': 10}",0.6091755880690413,0.8303937246698299,0.2465050505050505,0.9718461256330319,0.009800108164342352,0.005254681447197829,0.019724621874474844,0.002661372368854993
"{'criterion': 'gini', 'max_features': 'auto', 'min_samples_split': 10, 'n_estimators': 20}",0.6140554001696492,0.8367565620891302,0.2465050505050505,0.9816057498342479,0.013506472423270884,0.008495816695089715,0.024270572883453155,0.005619127005326208
"{'criterion': 'gini', 'max_features': 'auto', 'min_samples_split': 10, 'n_estimators': 80}",0.6298052669053952,0.8461181375100392,0.27462626262626266,0.984984271184528,0.015396129047521337,0.007899087836227793,0.032103889617912704,0.005036680574323267
