,balanced_acc_mean_test,f1_mean_test,recall_mean_test,specificity_mean_test,balanced_acc_std_test,f1_std_test,recall_std_test,specificity_std_test
"{'C': 0.01, 'gamma': 'scale', 'kernel': 'poly'}",0.7181554752479015,0.7939939500997426,0.6393939393939394,0.7969170111018635,0.015592366985730471,0.005968833918572556,0.03418686831380732,0.008629465306623021
"{'C': 0.01, 'gamma': 'scale', 'kernel': 'rbf'}",0.6691516361259622,0.7441673061194994,0.6093333333333333,0.7289699389185911,0.025123578248282426,0.012600859042110278,0.04941434789388378,0.016023579880904068
"{'C': 0.01, 'gamma': 'auto', 'kernel': 'poly'}",0.5,0.04299487381381726,1.0,0.0,0.0,0.0002870418119929372,0.0,0.0
"{'C': 0.01, 'gamma': 'auto', 'kernel': 'rbf'}",0.5,0.04299487381381726,1.0,0.0,0.0,0.0002870418119929372,0.0,0.0
"{'C': 0.1, 'gamma': 'scale', 'kernel': 'poly'}",0.7290565473607835,0.802452174716638,0.6514343434343435,0.8066787512872237,0.02263452147994153,0.012148922825736702,0.03873435912044742,0.011914549450938868
"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.7120964957165216,0.795954729197838,0.6193939393939394,0.8047990520391034,0.021760213955900717,0.009169476939616976,0.04317985109820529,0.009396005718846244
"{'C': 0.1, 'gamma': 'auto', 'kernel': 'poly'}",0.5,0.04299487381381726,1.0,0.0,0.0,0.0002870418119929372,0.0,0.0
"{'C': 0.1, 'gamma': 'auto', 'kernel': 'rbf'}",0.6660657362890996,0.7855236876634739,0.5171919191919192,0.81493955338628,0.021896168194937064,0.009960332058071782,0.04202483463196852,0.009617158152022244
"{'C': 0.5, 'gamma': 'scale', 'kernel': 'poly'}",0.7256230386358756,0.8048385426050835,0.6374343434343434,0.8138117338374078,0.020978866276603052,0.00787098012279414,0.04521628238404175,0.010610020427820836
"{'C': 0.5, 'gamma': 'scale', 'kernel': 'rbf'}",0.7205838054400313,0.8062153745603473,0.6213535353535354,0.8198140755265275,0.016204826023182645,0.007677144528901796,0.033803576248181456,0.01051856699489922
"{'C': 0.5, 'gamma': 'auto', 'kernel': 'poly'}",0.501760922717277,0.19217440996061672,0.8020202020202021,0.201501643414352,0.0017485253254162813,0.29166148852362356,0.39595959595959596,0.3992509416129442
"{'C': 0.5, 'gamma': 'auto', 'kernel': 'rbf'}",0.6928360702198957,0.7746744640968404,0.6112727272727272,0.774399413167064,0.017273266651558025,0.009731848773704914,0.027154896975537714,0.00874990575882461
"{'C': 10, 'gamma': 'scale', 'kernel': 'poly'}",0.6911760326394473,0.8208717598608173,0.5111111111111112,0.8712409541677835,0.029292543058090124,0.011442089641723777,0.05910860479231283,0.008018552431547655
"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",0.7248415457029064,0.8247268529078721,0.5953333333333333,0.8543497580724795,0.02253545086541318,0.012069005103441404,0.041074458135331615,0.012868985000934197
"{'C': 10, 'gamma': 'auto', 'kernel': 'poly'}",0.6867179016960789,0.7471122429741086,0.6493333333333333,0.7241024700588244,0.015658424406029013,0.011738106692258277,0.018306040290327976,0.01330331600180747
"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",0.7224764277228977,0.8027041467642004,0.6333939393939394,0.8115589160518558,0.014478745700279023,0.00365803500951425,0.03500670275579915,0.00816245454007751
"{'C': 50, 'gamma': 'scale', 'kernel': 'poly'}",0.6767962218924992,0.8283922380481513,0.45494949494949494,0.8986429488355034,0.024844796480850747,0.011465496549393122,0.048764638838202264,0.009031994205057615
"{'C': 50, 'gamma': 'scale', 'kernel': 'rbf'}",0.6860047465015373,0.8321829722636886,0.47298989898989907,0.8990195940131755,0.03173951708594198,0.017295855425628278,0.05599603524962438,0.014244306533393829
"{'C': 50, 'gamma': 'auto', 'kernel': 'poly'}",0.7142666201292645,0.7878957379777181,0.6413737373737374,0.7871595028847918,0.01499939858156348,0.007920169012985619,0.025247724796246516,0.0069606839268675745
"{'C': 50, 'gamma': 'auto', 'kernel': 'rbf'}",0.7342866846461199,0.8042714527401547,0.6615151515151515,0.8070582177770881,0.026352644748478937,0.011765368171246442,0.051008920878437884,0.012505654537561707
"{'C': 100, 'gamma': 'scale', 'kernel': 'poly'}",0.6722844774680461,0.8252314444582745,0.44892929292929284,0.8956396620067995,0.02209431121105812,0.009159975216789337,0.046922887503826595,0.009464268263418766
"{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'}",0.6836702778037824,0.8385697854367278,0.45292929292929285,0.9144112626782717,0.025763759110042188,0.015437389305358476,0.04188463952647106,0.01215997632132493
"{'C': 100, 'gamma': 'auto', 'kernel': 'poly'}",0.7181554752479015,0.7939846623407846,0.6393939393939394,0.7969170111018635,0.014697722934072762,0.006053451310973032,0.03418686831380732,0.010672016510916338
"{'C': 100, 'gamma': 'auto', 'kernel': 'rbf'}",0.7388023090872899,0.8011568079082636,0.6795555555555556,0.7980490626190242,0.026833285888047485,0.011350574298910922,0.051690436587128,0.01076452838957649
"{'C': 0.3, 'gamma': 'scale', 'kernel': 'poly'}",0.7314865287329986,0.8056790050100322,0.6514141414141414,0.8115589160518558,0.022189767253982636,0.011159572479572924,0.040365992186132404,0.011339227506275253
"{'C': 0.3, 'gamma': 'scale', 'kernel': 'rbf'}",0.7255834527760073,0.8078712804522669,0.6313535353535353,0.8198133701984792,0.015084885790279995,0.007079407308534221,0.031553305058201274,0.009551314293816017
"{'C': 0.8, 'gamma': 'scale', 'kernel': 'poly'}",0.7250526673440666,0.8070932153513407,0.6314141414141414,0.8186911932739918,0.02229750285119326,0.009418963418340235,0.04610833961157741,0.011701857510218816
"{'C': 0.8, 'gamma': 'scale', 'kernel': 'rbf'}",0.7256712209484995,0.8090670893866762,0.6292727272727272,0.8220697146242717,0.008868382578441213,0.005988375912650195,0.016357574634825442,0.008556914300632329
"{'C': 5, 'gamma': 'scale', 'kernel': 'poly'}",0.6973044453763324,0.8156805524568709,0.5391313131313131,0.8554775776213518,0.02240297496531513,0.010040001031138451,0.04136299379133604,0.006005897279631091
"{'C': 5, 'gamma': 'scale', 'kernel': 'rbf'}",0.7270953093404954,0.8188106262760595,0.6133535353535354,0.8408370833274554,0.01376919156141464,0.010618603629115856,0.03194273521198807,0.018508274825358068
"{'C': 15, 'gamma': 'scale', 'kernel': 'poly'}",0.6763254746964631,0.8183662340715498,0.475030303030303,0.8776206463626233,0.03224324647392788,0.013484844399119171,0.06467169330950616,0.01124386526633978
"{'C': 15, 'gamma': 'scale', 'kernel': 'rbf'}",0.7175157673591563,0.8296738483509378,0.5652929292929294,0.8697386054253833,0.028486408128346474,0.013680930882750558,0.053171532958447905,0.012035000227969782
"{'C': 80, 'gamma': 'scale', 'kernel': 'poly'}",0.6712844774680462,0.8248439218731146,0.4469292929292929,0.8956396620067993,0.021690357394436404,0.00902228188834528,0.046620537785550455,0.010041735380726977
"{'C': 80, 'gamma': 'scale', 'kernel': 'rbf'}",0.6836158836171673,0.8365464021050435,0.4569494949494949,0.9102822722848398,0.02826020837574141,0.015239256586434796,0.04913442806446743,0.010125378550921814
"{'C': 200, 'gamma': 'scale', 'kernel': 'poly'}",0.6733456858360581,0.8247636167594967,0.45292929292929285,0.8937620787428232,0.022623208994618442,0.009412112459133815,0.04852136671882216,0.010598121713801381
